Этаж,Общее количество этаже в доме,Количество комнат,Площадь квартиры,Цена,Район,Улица,Номер дома,Метро,Расстояние до метро
5,5,1,32.5,10500000.0,Коптево,Большая Академическая ,39Б,Коптево,989.6117166956675
4,8,1,34.0,25700000.0,Гагаринский,Ленинский проспект,38Ак1,Ленинский проспект,960.8459970000656
8,14,1,38.6,11500000.0,Люблино,Совхозная ,10К2,Люблино,865.1009087636938
7,24,1,35.73,20137428.0,Алексеевский,проспект Мира,186АС1,Улица Сергея Эйзенштейна,447.7086168648267
13,17,1,40.0,14000000.0,Марьино,Новомарьинская ,16К1,Братиславская,802.7780481596089
2,6,1,13.2,3865000.0,Северное Измайлово,Сиреневый бульвар,15,Щёлковская,1116.6500751822
2,6,1,48.3,113022000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,603.4763647354536
3,18,1,49.0,31000000.0,Басманный,Бауманская ,47,Бауманская,393.6194272080357
10,14,1,38.0,11150000.0,Восточное Дегунино,Бескудниковский бульвар,8К3,Верхние Лихоборы,557.1877979071298
5,21,1,53.11,30369999.0,Беговой, 1-я Ямского Поля,28С3,Белорусская,673.6231171496433
2,44,1,45.6,28450000.0,Пресненский,Ходынская ,2,Улица 1905 года,695.0064773305083
24,26,1,41.87,22930000.0,Нагорный,Электролитный проезд,7,Нагорная,95.46822866200262
5,16,1,34.5,11600000.0,Котловка,Большая Черемушкинская ,9К3,Крымская,507.31103630171066
3,24,1,44.68,13500000.0,Марьина роща,Октябрьская ,98,Марьина Роща,373.0058586499803
3,36,1,34.5,14897100.0,Покровское-Стрешнево,Вишневая ,7С128,Тушинская,338.8790811240793
9,25,1,37.9,19000000.0,Лефортово, Крузенштерна,9,Авиамоторная,1086.2627055849118
14,30,1,37.6,19855657.0,Южнопортовый,Волгоградский проспект,32/5к2,Волгоградский проспект,650.857672041517
24,49,1,43.9,27800000.0,Раменки, Лобачевского,114с1,Мичуринский проспект,538.5921164706826
1,12,1,30.7,8650000.0,Люблино,Белореченская ,15,Люблино,501.3807395946368
5,12,1,41.3,9700000.0,Капотня,1-й кв-л,1,Люблино,4332.814946041421
11,16,1,33.4,9900000.0,Южное Бутово,к2.1,к2.1,Бунинская аллея,25050.48272068716
3,20,1,41.5,26555850.0,Сокольники,Рубцовско-Дворцовая ,4,Сокольники,976.8790207658293
4,28,1,28.7,10131100.0,Отрадное,Отрадная ,4А,Отрадное,639.4920878145541
16,17,1,27.0,12300000.0,Левобережный,Смольная ,44к1,Беломорская,430.55675522622073
15,29,1,29.9,13260650.0,Черемушки, Наметкина,вл10,Новые Черёмушки,893.2727881480023
6,9,1,34.9,13490000.0,Северное Тушино, Вилиса Лациса,7К1,Планерная,588.4548414065125
24,24,1,19.6,22440000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,1384.1545620081595
5,9,1,34.9,10500000.0,Отрадное,Юрловский проезд,9,Отрадное,1165.339322024092
11,14,1,50.9,35780000.0,Раменки,проспект Генерала Дорохова,39к2И,Минская,992.8309677101846
24,24,1,21.0,15590000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,1384.1545620081595
2,12,1,18.9,8300000.0,Беговой,Ленинградский проспект,33А,Динамо,148.2273224351064
9,9,1,34.7,9000000.0,Бибирево, Корнейчука,46,Бибирево,2227.8889563306543
8,12,1,36.8,18850000.0,Тверской,2-я Брестская ,6,Маяковская,278.51592892910725
6,16,1,35.0,10300000.0,Кузьминки, Юных Ленинцев,55,Кузьминки,574.631505911173
20,28,1,40.0,24000000.0,Марфино, Академика Королева,21,Останкино,277.6610807321886
2,9,1,35.1,10400000.0,Южное Тушино, Фабрициуса,24С1,Сходненская,796.4944039764791
20,28,1,37.0,21000000.0,Марфино, Академика Королева,21,Останкино,277.6610807321886
3,5,1,27.5,6000000.0,Новая Москва, Лесная,82,Крёкшино,22254.175001104963
2,6,1,78.0,165000000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,382.1627232414642
2,6,1,40.0,7500000.0,Марьино, Перерва,16,Перерва,1177.7790980202915
6,9,1,32.0,10150000.0,Ясенево,Голубинская ,7К5,Ясенево,1138.836118520591
4,12,1,38.7,13000000.0,Строгино, Исаковского,6К1,Мякинино,1229.9294865097165
7,9,1,33.0,10999999.0,Ростокино,Будайский проезд,2,Ростокино,546.7040845110844
5,24,1,31.3,12490000.0,Богородское,Открытое шоссе,вл9,Бульвар Рокоссовского,192.9161930253961
5,5,1,29.3,8900000.0,Перово, Металлургов,52,Перово,1471.6084776121804
2,23,1,19.9,8913361.0,Отрадное,Сигнальный проезд,12,Владыкино,295.7370770385554
2,12,1,35.4,8300000.0,Старое Крюково,Зеленоград,к832,Зеленоград — Крюково,273.89508898659966
11,37,1,43.0,22311410.0,Останкинский, Годовикова,11к5,Алексеевская,952.5460841472363
7,9,1,32.9,9200000.0,Выхино-Жулебино,Ташкентская ,16К1,Юго-Восточная,321.7897769453574
2,14,1,30.45,40194000.0,Дорогомилово,1-й Можайский тупик,8Ас15,Киевская,476.3054189661285
